DATE,GOOG,NVDA,AMZN,RPD,SPLK,PYPL,AAPL,SNPS,MU,MSFT
6/6/16,-0.011599481,-0.007755317,0.000316536,0.053149039,0.018605982,-0.009664435,0.006510042,0.001334986,-0.009353147,0.002689206
6/7/16,-0.004441389,-0.004092628,-0.008461626,0.017902376,0.012493831,-0.013220711,-0.002219085,0.00741942,0.013163179,-0.002683536
6/8/16,0.005949447,-0.003458715,0.000330342,0.020358724,-0.00218066,0.000532765,-0.000808244,0.012048339,-0.038976095,0.000384394
6/9/16,0.007868035,0.029124114,0.006272638,0.027019309,0.001017294,-0.009382189,0.011607498,-0.004511286,0.003202565,-0.007334524
6/10/16,-8.34E-05,-0.013330664,-0.006165573,0.007620404,-0.033622498,-0.001630435,0.003040132,-0.001712818,-0.014718172,0.008387838
6/13/16,0.002578632,0.011608041,0.001721183,0.020892125,0.011610383,0.00109529,-0.01377362,-0.000191773,0.00415801,0.011231566
6/14/16,0.00249521,0.004275338,0.00973723,-0.0363931,0.018892025,0.021488655,0.00143752,0.000767018,-0.012505373,-0.00140379
6/15/16,-0.000111272,0.001902146,-0.010778097,-0.100793938,0.019353756,-0.008648703,-0.006975818,0.003814615,-0.011579947,-0.001809591
6/16/16,-0.006384777,0.011421444,0.007638751,0.050200654,0.01791508,0.009512234,0.011340328,0.016703854,0.00671707,0.017416114
6/17/16,-0.024180502,-0.018870485,-0.016566665,-0.041531072,-0.001035018,-0.001621622,-0.013441203,0.000953562,0.019032432,-0.005569937
6/20/16,-0.007267641,0.001894139,0.000714531,0.008224345,0.006303795,-0.011330038,-0.009419222,0.005852938,-0.015304366,-0.011319751
6/21/16,-0.003528555,-0.010312624,0.00013971,0.003718859,0.005387218,-0.01754431,0.010165139,-0.001317647,0.016607736,0.019529174
6/22/16,-0.002291411,-0.002959833,-0.008380211,-0.016442822,-0.01602216,-0.007747687,-0.007299302,-0.001880053,-0.004705891,-0.001763496
6/23/16,0.006317375,0.016845568,0.009154337,0.01699339,0.024984419,0.010695289,0.00166632,0.009314523,0.046621698,0.012210637
6/24/16,7.41E-05,-0.016697775,0.008563517,-0.002303264,-0.026461809,0.002283106,0.005260063,0.001152738,-0.021715567,0.000401445
6/27/16,-0.004091818,-0.002428525,-0.000939734,-0.049025486,-0.063471148,-0.015666117,-0.010376228,-0.0079558,-0.071007739,-0.013739578
6/28/16,0.001574676,-0.004347833,0.011293135,-0.005716635,0.019116698,0.02238257,0.007399894,0.009447675,0.027313442,0.010573502
6/29/16,0.001623864,0.007530966,-0.000209592,-0.007266887,0.018429497,0.002239016,0.004565491,0.00624588,-0.008305068,0.012543718
6/30/16,0.009625719,0.005973988,-0.002205442,0.018452188,-0.017382196,0.019359012,0.012208108,0.015654438,0.030998792,0.008833113
7/1/16,0.010076195,-0.001926989,0.011587101,-0.001586043,0.006804624,-0.006854036,0.004180171,-0.002414787,-0.006379607,0.000586568
7/5/16,-0.001595963,0.02026736,0.007305843,-0.060224382,-0.00944364,-0.004971013,-0.004202128,0.003928543,-0.038703884,0.006666691
7/6/16,0.011226924,0.013309587,0.016264744,0.001679262,0.016054106,-0.00027828,0.009782858,0.010287194,-0.00255428,0.011746415
7/7/16,-0.003904012,0.018997061,-0.003740095,0.004171888,0.006032374,0.01107431,0.002504698,0.002790959,0.024897552,-0.00077821
7/8/16,0.008725227,0.02872729,0.007631519,0.026017728,0.025032596,0.015646394,0.00196718,0.004618946,0.018393161,0.010958487
7/11/16,0.009893696,0.00849426,0.005027342,-0.008000043,0.003492843,0.018519048,0.00237444,0.001464397,-0.011797227,0.001712818
7/12/16,0.002111464,0.003795071,-0.011494609,0.001594897,0.035363754,0.008283765,0.002569507,-0.001455869,0.017537621,0.005087152
7/13/16,-0.009218447,-0.002271008,-0.005545909,0.011041122,-0.01700143,0.01126484,-0.005559001,0.000182266,0.003769322,-0.000933968
7/14/16,-0.000873465,0.004888147,-0.010281556,0.024039619,-0.009536857,0.006779687,0.014272849,-0.00636771,-0.015677813,-0.001859082
7/15/16,-0.008135188,0.001139169,-0.014993634,0.007806441,0.005465428,-0.023512649,-0.001416288,-0.007505756,-0.013615944,-0.00464469
7/18/16,0.015201221,-0.007148262,0.000788279,0.001561281,-0.012839344,-0.005381179,0.011383793,0.000184145,0.006769488,0.00483003
